main_category,backers,counter,usd_pledged_real,amnt_per_backer,canceled,failed,successful,success_rank,backers_rank,projects_rank,usd_pledged_rank,amnt_per_backer_rank
Art,1180799,27861,90161654.8599998,55.05196477119227,0.07971716736656975,50.72%,41.31%,11.0,6.0,9.0,7.0,7.0
Comics,1453939,10719,71328458.12999989,41.0583271186717,0.07845881145629256,37.65%,54.50%,13.0,9.0,5.0,6.0,3.0
Crafts,239297,8661,14302853.61000002,37.75694480096111,0.09733287149289921,65.85%,24.42%,3.0,3.0,3.0,3.0,1.0
Dance,161012,3736,12993666.789999994,70.93113849674081,0.04362955032119915,33.06%,62.58%,15.0,1.0,1.0,2.0,12.0
Design,7130876,29514,724514498.7599984,93.86771018617956,0.1406451175713221,50.19%,35.74%,8.0,14.0,10.0,14.0,14.0
Fashion,1388135,22424,129220934.34999967,63.7179076346206,0.11817695326435962,63.24%,24.94%,4.0,8.0,7.0,9.0,10.0
Film & Video,4190761,62245,389106299.98000026,77.24632989544027,0.09224837336332235,52.84%,37.93%,10.0,12.0,15.0,12.0,13.0
Food,1320109,24263,124728915.52000014,62.833592742529106,0.09104397642500928,65.82%,25.08%,5.0,7.0,8.0,8.0,9.0
Games,11304742,34718,739168124.5599984,50.51117507748661,0.17852410853159745,46.09%,36.06%,9.0,15.0,12.0,15.0,5.0
Journalism,181103,4671,12338963.780000007,37.92271624186818,0.11196745878826804,67.14%,21.67%,2.0,2.0,2.0,1.0,2.0
Music,2700566,49100,192830322.4799999,57.79126577496583,0.06718940936863543,44.19%,49.09%,12.0,11.0,14.0,11.0,8.0
Photography,426071,10675,38266343.60000006,52.76659618025565,0.09236533957845433,59.80%,30.96%,6.0,4.0,4.0,4.0,6.0
Publishing,2217571,39014,132691319.34999973,48.510648992718394,0.0923001999282309,59.24%,31.53%,7.0,10.0,13.0,10.0,4.0
Technology,5201257,31761,670223502.2899984,96.05602621997704,0.14845250464406032,64.90%,20.25%,1.0,13.0,11.0,13.0,15.0
Theater,512364,10849,43583725.09999995,70.52624594841834,0.05594985712968937,34.18%,60.23%,14.0,5.0,6.0,5.0,11.0
