,main_category,canceled,failed,successful
0,Art,0.07971716736656975,50.72%,41.31%
1,Comics,0.07845881145629256,37.65%,54.50%
2,Crafts,0.09733287149289921,65.85%,24.42%
3,Dance,0.04362955032119915,33.06%,62.58%
4,Design,0.1406451175713221,50.19%,35.74%
5,Fashion,0.11817695326435962,63.24%,24.94%
6,Film & Video,0.09224837336332235,52.84%,37.93%
7,Food,0.09104397642500928,65.82%,25.08%
8,Games,0.17852410853159745,46.09%,36.06%
9,Journalism,0.11196745878826804,67.14%,21.67%
10,Music,0.06718940936863543,44.19%,49.09%
11,Photography,0.09236533957845433,59.80%,30.96%
12,Publishing,0.0923001999282309,59.24%,31.53%
13,Technology,0.14845250464406032,64.90%,20.25%
14,Theater,0.05594985712968937,34.18%,60.23%
